!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='5.5' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00221	-27.8	5.8	5.5	0.1	298.15	
R00223	-29.0	3.5	5.5	0.1	298.15	
R00224	-26.9	6.5	5.5	0.1	298.15	
R00226	40.8	7.4	5.5	0.1	298.15	
R00227	-21.8	1.0	5.5	0.1	298.15	
R00228	-8.0	2.4	5.5	0.1	298.15	
R00229	-2.2	0.8	5.5	0.1	298.15	
R00230	12.2	1.2	5.5	0.1	298.15	
R00233	-27.0	6.3	5.5	0.1	298.15	
R00234	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00235	-4.5	0.8	5.5	0.1	298.15	
R00236	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00237	8.5	15.3	5.5	0.1	298.15	
R00238	26.0	1.7	5.5	0.1	298.15	
R00239	22.6	4.5	5.5	0.1	298.15	
R00241	22.9	4.5	5.5	0.1	298.15	
R00243	46.7	0.6	5.5	0.1	298.15	
R00245	-26.6	3.9	5.5	0.1	298.15	
R00248	47.9	0.7	5.5	0.1	298.15	
R00250	-95.4	8.3	5.5	0.1	298.15	
R00251	-3.1	6.2	5.5	0.1	298.15	
R00253	-12.6	1.6	5.5	0.1	298.15	
R00254	72.1	9.5	5.5	0.1	298.15	
R00256	-11.5	1.7	5.5	0.1	298.15	
R00257	-19.8	13.1	5.5	0.1	298.15	
R00258	-0.3	1.1	5.5	0.1	298.15	
R00259	-21.0	6.4	5.5	0.1	298.15	
R00260	0.6	4.3	5.5	0.1	298.15	
R00261	-33.7	6.9	5.5	0.1	298.15	
R00262	-6.8	4.7	5.5	0.1	298.15	
R00263	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00264	-17.8	4.0	5.5	0.1	298.15	
R00265	-25.0	7.7	5.5	0.1	298.15	
R00267	7.1	6.3	5.5	0.1	298.15	
R00268	-23.9	7.7	5.5	0.1	298.15	
R00269	0.3	4.7	5.5	0.1	298.15	
R00270	41.3	6.4	5.5	0.1	298.15	
R00271	-20.4	5.4	5.5	0.1	298.15	
R00272	-27.5	6.7	5.5	0.1	298.15	
R00273	-182.1	15.4	5.5	0.1	298.15	
R00274	-308.6	6.6	5.5	0.1	298.15	
R00275	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00276	177.8	11.7	5.5	0.1	298.15	
R00277	-95.6	9.0	5.5	0.1	298.15	
R00278	-108.7	8.4	5.5	0.1	298.15	
R00279	-96.0	9.3	5.5	0.1	298.15	
R00280	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00281	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00282	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00283	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00284	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00286	13.8	4.3	5.5	0.1	298.15	
R00287	-17.6	7.5	5.5	0.1	298.15	
R00289	-4.8	1.1	5.5	0.1	298.15	
R00291	2.9	1.6	5.5	0.1	298.15	
R00293	-56.1	10.7	5.5	0.1	298.15	
R00294	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00295	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00296	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00297	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00298	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00299	-12.2	0.9	5.5	0.1	298.15	
R00300	5.3	2.2	5.5	0.1	298.15	
R00301	4.4	4.1	5.5	0.1	298.15	
R00302	-126.4	8.9	5.5	0.1	298.15	
R00303	-11.8	0.9	5.5	0.1	298.15	
R00304	-19.4	1.6	5.5	0.1	298.15	
R00305	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00306	-12.9	3.7	5.5	0.1	298.15	
R00307	-0.1	0.6	5.5	0.1	298.15	
R00310	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00311	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00312	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00313	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00314	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00315	10.0	1.1	5.5	0.1	298.15	
R00316	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00317	-34.0	1.3	5.5	0.1	298.15	
R00318	-79.5	13.8	5.5	0.1	298.15	
R00319	-497.9	8.8	5.5	0.1	298.15	
R00320	19.1	1.3	5.5	0.1	298.15	
R00321	-23.0	4.6	5.5	0.1	298.15	
R00322	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00324	-49.0	4.1	5.5	0.1	298.15	
R00325	2.5	2.3	5.5	0.1	298.15	
R00326	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00327	-20.1	4.6	5.5	0.1	298.15	
R00328	-16.9	2.4	5.5	0.1	298.15	
R00329	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00330	-1.8	2.6	5.5	0.1	298.15	
R00331	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00332	-7.1	2.4	5.5	0.1	298.15	
R00333	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00334	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00335	-22.2	2.7	5.5	0.1	298.15	
R00336	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00337	-24.6	6.6	5.5	0.1	298.15	
R00338	-42.7	6.7	5.5	0.1	298.15	
R00339	-35.1	3.9	5.5	0.1	298.15	
R00340	-35.1	3.9	5.5	0.1	298.15	
R00341	8.2	6.2	5.5	0.1	298.15	
R00342	39.4	0.6	5.5	0.1	298.15	
R00343	40.6	0.9	5.5	0.1	298.15	
R00344	0.9	1.4	5.5	0.1	298.15	
R00345	32.2	6.2	5.5	0.1	298.15	
R00346	17.4	6.2	5.5	0.1	298.15	
R00347	-26.7	4.3	5.5	0.1	298.15	
R00348	-7.0	5.0	5.5	0.1	298.15	
R00350	19.0	5.4	5.5	0.1	298.15	
R00351	26.7	0.9	5.5	0.1	298.15	
R00352	2.7	0.9	5.5	0.1	298.15	
R00353	-1.1	2.9	5.5	0.1	298.15	
R00354	14.4	15.3	5.5	0.1	298.15	
R00355	3.3	1.1	5.5	0.1	298.15	
R00357	-92.1	8.3	5.5	0.1	298.15	
R00359	-97.0	9.1	5.5	0.1	298.15	
R00360	-102.8	8.3	5.5	0.1	298.15	
R00361	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00362	4.9	0.9	5.5	0.1	298.15	
R00363	5.7	5.8	5.5	0.1	298.15	
R00364	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00365	54.7	3.2	5.5	0.1	298.15	
R00366	-87.4	8.8	5.5	0.1	298.15	
R00367	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00368	40.5	7.8	5.5	0.1	298.15	
R00369	-8.3	3.3	5.5	0.1	298.15	
R00371	39.8	4.1	5.5	0.1	298.15	
R00372	8.0	3.2	5.5	0.1	298.15	
R00373	4.6	3.2	5.5	0.1	298.15	
R00374	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00380	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00383	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00384	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00385	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00387	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00388	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00389	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00390	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00391	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00392	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00393	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00394	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00395	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00396	46.4	1.1	5.5	0.1	298.15	
R00397	-22.3	6.3	5.5	0.1	298.15	
R00398	43.6	5.8	5.5	0.1	298.15	
R00399	34.7	7.2	5.5	0.1	298.15	
R00400	-3.6	1.4	5.5	0.1	298.15	
R00401	-0.0	2.0	5.5	0.1	298.15	
R00402	72.9	4.1	5.5	0.1	298.15	
R00405	-6.1	2.6	5.5	0.1	298.15	
R00406	-5.5	7.4	5.5	0.1	298.15	
R00407	-18.0	2.7	5.5	0.1	298.15	
R00408	38.6	7.1	5.5	0.1	298.15	
R00409	8.8	5.9	5.5	0.1	298.15	
R00410	9.6	1.3	5.5	0.1	298.15	
R00411	-3.0	7.0	5.5	0.1	298.15	
R00412	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00414	-21.9	6.6	5.5	0.1	298.15	
R00416	-8.1	7.3	5.5	0.1	298.15	
R00417	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00418	0.0	12.0	5.5	0.1	298.15	
R00420	0.0	12.0	5.5	0.1	298.15	
R00421	10.1	12.3	5.5	0.1	298.15	
R00422	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00423	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00424	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00425	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00426	-24.3	3.7	5.5	0.1	298.15	
R00428	14.4	5.8	5.5	0.1	298.15	
R00429	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00430	35.8	2.8	5.5	0.1	298.15	
R00431	10.0	6.7	5.5	0.1	298.15	
R00432	-4.3	0.9	5.5	0.1	298.15	
R00434	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00436	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00445	30.2	17.3	5.5	0.1	298.15	
R00446	44.7	5.6	5.5	0.1	298.15	
R00447	-104.7	9.9	5.5	0.1	298.15	
R00448	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00449	-469.7	10.6	5.5	0.1	298.15	
R00451	-25.9	7.3	5.5	0.1	298.15	
R00452	48.2	8.3	5.5	0.1	298.15	
R00453	-1.7	5.7	5.5	0.1	298.15	
R00454	-23.4	6.3	5.5	0.1	298.15	
R00457	-2.0	5.6	5.5	0.1	298.15	
R00458	1.5	6.3	5.5	0.1	298.15	
R00459	-45.4	17.2	5.5	0.1	298.15	
R00460	0.0	5.8	5.5	0.1	298.15	
R00461	-4.8	4.1	5.5	0.1	298.15	
R00462	-33.8	8.6	5.5	0.1	298.15	
R00463	19.9	9.1	5.5	0.1	298.15	
R00465	54.5	1.8	5.5	0.1	298.15	
R00466	-148.4	10.6	5.5	0.1	298.15	
R00468	2.4	2.6	5.5	0.1	298.15	
R00469	-38.6	9.6	5.5	0.1	298.15	
R00470	17.8	3.0	5.5	0.1	298.15	
R00471	15.4	4.4	5.5	0.1	298.15	
R00472	24.8	4.1	5.5	0.1	298.15	
R00473	12.3	5.8	5.5	0.1	298.15	
R00474	36.6	7.7	5.5	0.1	298.15	
R00475	-88.8	8.4	5.5	0.1	298.15	
R00476	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00477	18.5	7.3	5.5	0.1	298.15	
R00478	1.4	5.4	5.5	0.1	298.15	
R00479	8.0	2.7	5.5	0.1	298.15	
R00480	15.2	5.8	5.5	0.1	298.15	
R00481	-68.6	9.4	5.5	0.1	298.15	
R00482	-7.2	7.0	5.5	0.1	298.15	
R00483	-9.4	7.1	5.5	0.1	298.15	
R00484	-48.5	9.8	5.5	0.1	298.15	
R00485	-16.9	7.0	5.5	0.1	298.15	
R00486	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00487	-11.1	4.7	5.5	0.1	298.15	
R00488	-10.7	4.8	5.5	0.1	298.15	
R00489	-29.1	11.8	5.5	0.1	298.15	
R00490	14.4	0.9	5.5	0.1	298.15	
R00491	4.9	3.9	5.5	0.1	298.15	
R00493	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00494	-1.8	8.9	5.5	0.1	298.15	
R00497	-22.6	8.9	5.5	0.1	298.15	
R00499	-22.5	10.4	5.5	0.1	298.15	
R00501	9.7	5.0	5.5	0.1	298.15	
R00502	-7.7	3.6	5.5	0.1	298.15	
R00503	-7.2	4.4	5.5	0.1	298.15	
R00504	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00505	4.8	9.9	5.5	0.1	298.15	
R00507	-68.3	11.2	5.5	0.1	298.15	
R00508	-17.5	11.5	5.5	0.1	298.15	
R00509	-6.5	11.5	5.5	0.1	298.15	
R00510	-10.2	9.0	5.5	0.1	298.15	
R00511	-18.7	5.4	5.5	0.1	298.15	
R00512	-7.2	5.8	5.5	0.1	298.15	
R00513	-5.3	5.4	5.5	0.1	298.15	
R00514	-16.8	5.8	5.5	0.1	298.15	
R00515	-26.0	4.6	5.5	0.1	298.15	
R00516	-3.8	6.0	5.5	0.1	298.15	
R00517	-3.5	6.0	5.5	0.1	298.15	
R00518	-11.6	8.8	5.5	0.1	298.15	
R00519	-13.9	6.5	5.5	0.1	298.15	
R00521	-5.3	8.9	5.5	0.1	298.15	
R00522	-26.1	8.6	5.5	0.1	298.15	
R00524	-31.7	12.1	5.5	0.1	298.15	
R00525	-33.4	11.0	5.5	0.1	298.15	
R00526	-31.7	11.2	5.5	0.1	298.15	
R00527	-6.1	10.0	5.5	0.1	298.15	
R00528	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00529	41.2	2.3	5.5	0.1	298.15	
R00530	50.4	2.3	5.5	0.1	298.15	
R00531	-67.5	2.5	5.5	0.1	298.15	
R00532	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00533	-165.4	11.0	5.5	0.1	298.15	
R00534	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00535	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00536	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00537	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00538	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00539	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00540	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00542	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00543	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00544	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00545	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00546	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00547	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00548	-21.1	19.6	5.5	0.1	298.15	
R00549	-2.9	19.6	5.5	0.1	298.15	
R00550	1.8	19.7	5.5	0.1	298.15	
R00551	-28.7	12.5	5.5	0.1	298.15	
R00552	-34.7	6.7	5.5	0.1	298.15	
R00554	14.0	1.1	5.5	0.1	298.15	
R00555	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00557	-1270.6	30.0	5.5	0.1	298.15	
R00558	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00559	-459.4	14.9	5.5	0.1	298.15	
R00562	41.2	5.8	5.5	0.1	298.15	
R00563	33.4	13.5	5.5	0.1	298.15	
R00565	-0.4	5.8	5.5	0.1	298.15	
R00566	-23.6	13.6	5.5	0.1	298.15	
R00567	7.3	12.0	5.5	0.1	298.15	
R00568	-29.4	4.8	5.5	0.1	298.15	
R00569	-24.0	4.5	5.5	0.1	298.15	
R00570	-0.0	4.6	5.5	0.1	298.15	
R00571	5.3	4.8	5.5	0.1	298.15	
R00572	34.1	4.7	5.5	0.1	298.15	
R00573	-6.1	5.1	5.5	0.1	298.15	
R00574	6.2	10.2	5.5	0.1	298.15	
R00575	8.1	5.2	5.5	0.1	298.15	
R00576	-11.5	4.4	5.5	0.1	298.15	
R00577	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00578	-20.9	7.2	5.5	0.1	298.15	
R00579	7.7	6.4	5.5	0.1	298.15	
R00581	50.4	1.6	5.5	0.1	298.15	
R00582	-12.2	0.5	5.5	0.1	298.15	
R00584	-2.7	0.7	5.5	0.1	298.15	
R00585	4.0	1.5	5.5	0.1	298.15	
R00586	-6.9	5.8	5.5	0.1	298.15	
R00588	-4.3	3.4	5.5	0.1	298.15	
R00589	-0.9	5.9	5.5	0.1	298.15	
R00590	-3.6	3.5	5.5	0.1	298.15	
R00594	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00595	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00596	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00597	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00598	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00599	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00600	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00601	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00602	-292.3	9.2	5.5	0.1	298.15	
R00603	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00604	-25.8	3.9	5.5	0.1	298.15	
R00605	42.9	6.5	5.5	0.1	298.15	
R00606	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00608	-99.2	10.4	5.5	0.1	298.15	
R00609	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00610	-76.9	11.4	5.5	0.1	298.15	
R00611	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00612	-69.2	11.9	5.5	0.1	298.15	
R00614	-68.7	8.4	5.5	0.1	298.15	
