!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='9.0' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00088	-48.6	7.0	9.0	0.1	298.15	
R00089	-2.9	2.0	9.0	0.1	298.15	
R00090	-315.1	6.4	9.0	0.1	298.15	
R00091	-14.7	29.7	9.0	0.1	298.15	
R00092	217.9	16.4	9.0	0.1	298.15	
R00093	39.8	1.8	9.0	0.1	298.15	
R00094	9.0	1.7	9.0	0.1	298.15	
R00095	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00097	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00099	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00100	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00101	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00102	-55.7	8.7	9.0	0.1	298.15	
R00103	-58.1	5.9	9.0	0.1	298.15	
R00104	-22.8	5.8	9.0	0.1	298.15	
R00105	-21.9	5.8	9.0	0.1	298.15	
R00106	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00107	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00108	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00109	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00111	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00112	-1.0	0.7	9.0	0.1	298.15	
R00113	-316.1	6.5	9.0	0.1	298.15	
R00114	40.8	1.9	9.0	0.1	298.15	
R00115	10.0	1.6	9.0	0.1	298.15	
R00118	-13.9	5.8	9.0	0.1	298.15	
R00119	-53.4	9.3	9.0	0.1	298.15	
R00120	-113.1	8.4	9.0	0.1	298.15	
R00122	-35.5	0.6	9.0	0.1	298.15	
R00123	-52.3	7.6	9.0	0.1	298.15	
R00125	-56.4	18.3	9.0	0.1	298.15	
R00126	19.7	18.3	9.0	0.1	298.15	
R00127	-1.2	0.3	9.0	0.1	298.15	
R00128	-42.8	5.8	9.0	0.1	298.15	
R00129	-65.5	13.5	9.0	0.1	298.15	
R00130	-8.4	5.8	9.0	0.1	298.15	
R00131	-11.3	9.0	9.0	0.1	298.15	
R00132	14.9	8.4	9.0	0.1	298.15	
R00134	-13.1	6.5	9.0	0.1	298.15	
R00137	2.4	5.8	9.0	0.1	298.15	
R00138	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00139	2.7	2.5	9.0	0.1	298.15	
R00140	-1.5	2.5	9.0	0.1	298.15	
R00141	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00143	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00145	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00146	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00148	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00149	-40.7	7.9	9.0	0.1	298.15	
R00150	-4.0	7.8	9.0	0.1	298.15	
R00152	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00153	-90.9	7.2	9.0	0.1	298.15	
R00155	-32.3	6.3	9.0	0.1	298.15	
R00156	-2.7	2.5	9.0	0.1	298.15	
R00157	1.5	2.5	9.0	0.1	298.15	
R00158	-4.4	6.3	9.0	0.1	298.15	
R00159	-34.0	2.5	9.0	0.1	298.15	
R00160	-34.2	9.4	9.0	0.1	298.15	
R00161	-21.5	9.4	9.0	0.1	298.15	
R00162	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00164	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00165	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00166	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00167	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00168	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00169	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00170	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00172	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00173	-10.3	8.0	9.0	0.1	298.15	
R00174	-26.5	8.0	9.0	0.1	298.15	
R00175	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00177	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00178	-10.2	6.1	9.0	0.1	298.15	
R00179	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00180	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00181	-22.3	3.8	9.0	0.1	298.15	
R00182	-17.6	3.0	9.0	0.1	298.15	
R00183	-13.6	2.8	9.0	0.1	298.15	
R00184	-55.2	18.3	9.0	0.1	298.15	
R00185	-23.1	2.8	9.0	0.1	298.15	
R00187	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00188	-10.0	6.0	9.0	0.1	298.15	
R00189	-35.4	12.9	9.0	0.1	298.15	
R00190	26.8	2.6	9.0	0.1	298.15	
R00191	-52.8	2.2	9.0	0.1	298.15	
R00192	34.4	5.8	9.0	0.1	298.15	
R00193	-14.7	9.5	9.0	0.1	298.15	
R00194	-14.8	8.8	9.0	0.1	298.15	
R00195	1.8	7.1	9.0	0.1	298.15	
R00196	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00197	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00198	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00199	-18.8	1.0	9.0	0.1	298.15	
R00200	16.7	0.8	9.0	0.1	298.15	
R00203	-51.9	4.1	9.0	0.1	298.15	
R00205	-50.9	4.1	9.0	0.1	298.15	
R00206	-2.2	1.0	9.0	0.1	298.15	
R00207	-148.1	10.4	9.0	0.1	298.15	
R00208	-53.4	1.1	9.0	0.1	298.15	
R00209	-33.7	6.4	9.0	0.1	298.15	
R00210	-32.7	6.4	9.0	0.1	298.15	
R00211	-155.8	10.3	9.0	0.1	298.15	
R00212	19.6	3.0	9.0	0.1	298.15	
R00213	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00214	13.0	6.2	9.0	0.1	298.15	
R00215	22.3	10.3	9.0	0.1	298.15	
R00216	14.0	6.2	9.0	0.1	298.15	
R00217	-5.9	6.2	9.0	0.1	298.15	
R00218	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00219	11.6	8.5	9.0	0.1	298.15	
R00220	-28.2	1.8	9.0	0.1	298.15	
R00221	-27.3	5.8	9.0	0.1	298.15	
R00223	-28.4	3.5	9.0	0.1	298.15	
R00224	-6.9	6.5	9.0	0.1	298.15	
R00226	20.8	7.4	9.0	0.1	298.15	
R00227	-43.0	1.0	9.0	0.1	298.15	
R00228	-26.8	2.4	9.0	0.1	298.15	
R00229	6.2	0.8	9.0	0.1	298.15	
R00230	7.7	1.2	9.0	0.1	298.15	
R00233	-6.4	6.3	9.0	0.1	298.15	
R00234	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00235	-12.7	0.8	9.0	0.1	298.15	
R00236	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00237	9.2	15.3	9.0	0.1	298.15	
R00238	24.5	1.7	9.0	0.1	298.15	
R00239	26.4	4.5	9.0	0.1	298.15	
R00241	16.0	4.5	9.0	0.1	298.15	
R00243	25.8	0.6	9.0	0.1	298.15	
R00245	-65.9	3.9	9.0	0.1	298.15	
R00248	26.8	0.7	9.0	0.1	298.15	
R00250	-96.2	8.3	9.0	0.1	298.15	
R00251	-18.7	6.2	9.0	0.1	298.15	
R00253	-22.7	1.6	9.0	0.1	298.15	
R00254	35.7	9.5	9.0	0.1	298.15	
R00256	-14.0	1.7	9.0	0.1	298.15	
R00257	-49.3	13.1	9.0	0.1	298.15	
R00258	-0.6	1.1	9.0	0.1	298.15	
R00259	-39.2	6.4	9.0	0.1	298.15	
R00260	0.6	4.3	9.0	0.1	298.15	
R00261	-12.4	6.9	9.0	0.1	298.15	
R00262	-7.7	4.7	9.0	0.1	298.15	
R00263	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00264	-58.1	4.0	9.0	0.1	298.15	
R00265	-24.7	7.7	9.0	0.1	298.15	
R00267	6.4	6.3	9.0	0.1	298.15	
R00268	-4.1	7.7	9.0	0.1	298.15	
R00269	-1.8	4.7	9.0	0.1	298.15	
R00270	43.5	6.4	9.0	0.1	298.15	
R00271	-41.5	5.4	9.0	0.1	298.15	
R00272	-7.4	6.7	9.0	0.1	298.15	
R00273	-142.2	15.4	9.0	0.1	298.15	
R00274	-306.1	6.6	9.0	0.1	298.15	
R00275	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00276	177.8	11.7	9.0	0.1	298.15	
R00277	-98.8	9.0	9.0	0.1	298.15	
R00278	-117.2	8.4	9.0	0.1	298.15	
R00279	-96.8	9.3	9.0	0.1	298.15	
R00280	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00281	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00282	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00283	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00284	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00286	-47.6	4.3	9.0	0.1	298.15	
R00287	-52.1	7.5	9.0	0.1	298.15	
R00289	2.4	1.1	9.0	0.1	298.15	
R00291	2.9	1.6	9.0	0.1	298.15	
R00293	-56.4	10.7	9.0	0.1	298.15	
R00294	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00295	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00296	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00297	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00298	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00299	-28.2	0.9	9.0	0.1	298.15	
R00300	-14.8	2.2	9.0	0.1	298.15	
R00301	-15.8	4.1	9.0	0.1	298.15	
R00302	-128.9	8.9	9.0	0.1	298.15	
R00303	-8.6	0.9	9.0	0.1	298.15	
R00304	-16.0	1.6	9.0	0.1	298.15	
R00305	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00306	-12.9	3.7	9.0	0.1	298.15	
R00307	-0.3	0.6	9.0	0.1	298.15	
R00310	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00311	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00312	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00313	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00314	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00315	14.0	1.1	9.0	0.1	298.15	
R00316	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00317	-50.7	1.3	9.0	0.1	298.15	
R00318	-86.4	13.8	9.0	0.1	298.15	
R00319	-497.7	8.8	9.0	0.1	298.15	
R00320	34.1	1.3	9.0	0.1	298.15	
R00321	-24.9	4.6	9.0	0.1	298.15	
R00322	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00324	-64.8	4.1	9.0	0.1	298.15	
R00325	2.2	2.3	9.0	0.1	298.15	
R00326	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00327	-39.9	4.6	9.0	0.1	298.15	
R00328	-34.6	2.4	9.0	0.1	298.15	
R00329	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00330	-2.5	2.6	9.0	0.1	298.15	
R00331	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00332	-2.1	2.4	9.0	0.1	298.15	
R00333	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00334	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00335	-34.2	2.7	9.0	0.1	298.15	
R00336	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00337	-37.2	6.6	9.0	0.1	298.15	
R00338	-62.5	6.7	9.0	0.1	298.15	
R00339	-35.3	3.9	9.0	0.1	298.15	
R00340	-35.3	3.9	9.0	0.1	298.15	
R00341	10.8	6.2	9.0	0.1	298.15	
R00342	18.9	0.6	9.0	0.1	298.15	
R00343	19.9	0.9	9.0	0.1	298.15	
R00344	-14.5	1.4	9.0	0.1	298.15	
R00345	47.5	6.2	9.0	0.1	298.15	
R00346	30.9	6.2	9.0	0.1	298.15	
R00347	-25.9	4.3	9.0	0.1	298.15	
R00348	-9.1	5.0	9.0	0.1	298.15	
R00350	18.9	5.4	9.0	0.1	298.15	
R00351	47.6	0.9	9.0	0.1	298.15	
R00352	10.9	0.9	9.0	0.1	298.15	
R00353	-0.5	2.9	9.0	0.1	298.15	
R00354	15.5	15.3	9.0	0.1	298.15	
R00355	2.7	1.1	9.0	0.1	298.15	
R00357	-93.5	8.3	9.0	0.1	298.15	
R00359	-98.5	9.1	9.0	0.1	298.15	
R00360	-103.1	8.3	9.0	0.1	298.15	
R00361	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00362	4.6	0.9	9.0	0.1	298.15	
R00363	5.7	5.8	9.0	0.1	298.15	
R00364	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00365	34.1	3.2	9.0	0.1	298.15	
R00366	-87.9	8.8	9.0	0.1	298.15	
R00367	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00368	22.9	7.8	9.0	0.1	298.15	
R00369	-8.8	3.3	9.0	0.1	298.15	
R00371	29.0	4.1	9.0	0.1	298.15	
R00372	8.3	3.2	9.0	0.1	298.15	
R00373	5.6	3.2	9.0	0.1	298.15	
R00374	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00380	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00383	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00384	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00385	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00387	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00388	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00389	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00390	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00391	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00392	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00393	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00394	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00395	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00396	25.3	1.1	9.0	0.1	298.15	
R00397	-2.7	6.3	9.0	0.1	298.15	
R00398	26.6	5.8	9.0	0.1	298.15	
R00399	32.0	7.2	9.0	0.1	298.15	
R00400	-3.3	1.4	9.0	0.1	298.15	
R00401	-0.0	2.0	9.0	0.1	298.15	
R00402	51.7	4.1	9.0	0.1	298.15	
R00405	0.8	2.6	9.0	0.1	298.15	
R00406	-4.8	7.4	9.0	0.1	298.15	
R00407	-37.5	2.7	9.0	0.1	298.15	
R00408	57.5	7.1	9.0	0.1	298.15	
R00409	9.4	5.9	9.0	0.1	298.15	
R00410	11.2	1.3	9.0	0.1	298.15	
R00411	-3.9	7.0	9.0	0.1	298.15	
R00412	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00414	-34.2	6.6	9.0	0.1	298.15	
R00416	-1.2	7.3	9.0	0.1	298.15	
R00417	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00418	0.0	12.0	9.0	0.1	298.15	
R00420	0.0	12.0	9.0	0.1	298.15	
R00421	-51.7	12.3	9.0	0.1	298.15	
R00422	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00423	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00424	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00425	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00426	-52.2	3.7	9.0	0.1	298.15	
R00428	-9.7	5.8	9.0	0.1	298.15	
R00429	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00430	19.2	2.8	9.0	0.1	298.15	
R00431	13.3	6.7	9.0	0.1	298.15	
R00432	3.3	0.9	9.0	0.1	298.15	
R00434	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00436	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00445	8.9	17.3	9.0	0.1	298.15	
R00446	21.9	5.6	9.0	0.1	298.15	
R00447	-106.4	9.9	9.0	0.1	298.15	
R00448	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00449	-469.0	10.6	9.0	0.1	298.15	
R00451	-4.6	7.3	9.0	0.1	298.15	
R00452	31.0	8.3	9.0	0.1	298.15	
R00453	-3.4	5.7	9.0	0.1	298.15	
R00454	-36.4	6.3	9.0	0.1	298.15	
R00457	-4.0	5.6	9.0	0.1	298.15	
R00458	-6.5	6.3	9.0	0.1	298.15	
R00459	-124.6	17.2	9.0	0.1	298.15	
R00460	0.0	5.8	9.0	0.1	298.15	
R00461	-4.0	4.1	9.0	0.1	298.15	
R00462	-13.2	8.6	9.0	0.1	298.15	
R00463	17.8	9.1	9.0	0.1	298.15	
R00465	34.2	1.8	9.0	0.1	298.15	
R00466	-168.3	10.6	9.0	0.1	298.15	
R00468	-17.3	2.6	9.0	0.1	298.15	
R00469	-6.5	9.6	9.0	0.1	298.15	
R00470	17.8	3.0	9.0	0.1	298.15	
R00471	15.4	4.4	9.0	0.1	298.15	
R00472	45.7	4.1	9.0	0.1	298.15	
R00473	13.0	5.8	9.0	0.1	298.15	
R00474	16.6	7.7	9.0	0.1	298.15	
R00475	-88.9	8.4	9.0	0.1	298.15	
R00476	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00477	18.4	7.3	9.0	0.1	298.15	
R00478	2.7	5.4	9.0	0.1	298.15	
R00479	8.7	2.7	9.0	0.1	298.15	
R00480	14.3	5.8	9.0	0.1	298.15	
R00481	-67.9	9.4	9.0	0.1	298.15	
R00482	-18.0	7.0	9.0	0.1	298.15	
R00483	-36.9	7.1	9.0	0.1	298.15	
R00484	-12.0	9.8	9.0	0.1	298.15	
R00485	-18.7	7.0	9.0	0.1	298.15	
R00486	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00487	-29.5	4.7	9.0	0.1	298.15	
R00488	-13.4	4.8	9.0	0.1	298.15	
R00489	-8.5	11.8	9.0	0.1	298.15	
R00490	13.0	0.9	9.0	0.1	298.15	
R00491	4.9	3.9	9.0	0.1	298.15	
R00493	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00494	-5.0	8.9	9.0	0.1	298.15	
R00497	-33.7	8.9	9.0	0.1	298.15	
R00499	-40.4	10.4	9.0	0.1	298.15	
R00501	-51.6	5.0	9.0	0.1	298.15	
R00502	-0.4	3.6	9.0	0.1	298.15	
R00503	-20.9	4.4	9.0	0.1	298.15	
R00504	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00505	4.8	9.9	9.0	0.1	298.15	
R00507	-106.6	11.2	9.0	0.1	298.15	
R00508	-12.0	11.5	9.0	0.1	298.15	
R00509	-24.7	11.5	9.0	0.1	298.15	
R00510	-17.4	9.0	9.0	0.1	298.15	
R00511	-14.8	5.4	9.0	0.1	298.15	
R00512	-1.9	5.8	9.0	0.1	298.15	
R00513	-21.9	5.4	9.0	0.1	298.15	
R00514	-34.9	5.8	9.0	0.1	298.15	
R00515	-54.5	4.6	9.0	0.1	298.15	
R00516	-19.2	6.0	9.0	0.1	298.15	
R00517	-19.4	6.0	9.0	0.1	298.15	
R00518	-7.4	8.8	9.0	0.1	298.15	
R00519	-14.1	6.5	9.0	0.1	298.15	
R00521	-26.5	8.9	9.0	0.1	298.15	
R00522	-6.0	8.6	9.0	0.1	298.15	
R00524	-33.8	12.1	9.0	0.1	298.15	
R00525	-34.7	11.0	9.0	0.1	298.15	
R00526	-32.8	11.2	9.0	0.1	298.15	
R00527	-26.1	10.0	9.0	0.1	298.15	
R00528	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00529	48.9	2.3	9.0	0.1	298.15	
R00530	69.0	2.3	9.0	0.1	298.15	
R00531	-104.5	2.5	9.0	0.1	298.15	
R00532	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00533	-173.3	11.0	9.0	0.1	298.15	
R00534	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00535	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00536	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00537	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00538	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00539	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00540	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00542	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00543	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00544	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00545	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00546	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00547	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00548	-39.0	19.6	9.0	0.1	298.15	
R00549	2.3	19.6	9.0	0.1	298.15	
R00550	23.0	19.7	9.0	0.1	298.15	
R00551	-28.1	12.5	9.0	0.1	298.15	
R00552	-37.1	6.7	9.0	0.1	298.15	
R00554	-5.7	1.1	9.0	0.1	298.15	
R00555	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00557	-1250.2	30.0	9.0	0.1	298.15	
R00558	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00559	-458.0	14.9	9.0	0.1	298.15	
R00562	25.5	5.8	9.0	0.1	298.15	
R00563	16.6	13.5	9.0	0.1	298.15	
R00565	1.9	5.8	9.0	0.1	298.15	
R00566	-2.5	13.6	9.0	0.1	298.15	
R00567	7.3	12.0	9.0	0.1	298.15	
R00568	-26.7	4.8	9.0	0.1	298.15	
R00569	-36.2	4.5	9.0	0.1	298.15	
R00570	-0.5	4.6	9.0	0.1	298.15	
R00571	-10.1	4.8	9.0	0.1	298.15	
R00572	17.2	4.7	9.0	0.1	298.15	
R00573	-24.0	5.1	9.0	0.1	298.15	
R00574	-5.2	10.2	9.0	0.1	298.15	
R00575	-38.4	5.2	9.0	0.1	298.15	
R00576	-11.6	4.4	9.0	0.1	298.15	
R00577	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00578	-50.9	7.2	9.0	0.1	298.15	
R00579	7.7	6.4	9.0	0.1	298.15	
R00581	30.8	1.6	9.0	0.1	298.15	
R00582	-10.1	0.5	9.0	0.1	298.15	
R00584	-6.5	0.7	9.0	0.1	298.15	
R00585	5.5	1.5	9.0	0.1	298.15	
R00586	-9.6	5.8	9.0	0.1	298.15	
R00588	-3.3	3.4	9.0	0.1	298.15	
R00589	-0.9	5.9	9.0	0.1	298.15	
R00590	-4.8	3.5	9.0	0.1	298.15	
R00594	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00595	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00596	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00597	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00598	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00599	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00600	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00601	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00602	-292.3	9.2	9.0	0.1	298.15	
R00603	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00604	-65.8	3.9	9.0	0.1	298.15	
R00605	22.8	6.5	9.0	0.1	298.15	
R00606	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00608	-99.2	10.4	9.0	0.1	298.15	
R00609	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00610	-78.4	11.4	9.0	0.1	298.15	
R00611	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00612	-69.3	11.9	9.0	0.1	298.15	
