!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='6.5' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00168	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00169	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00170	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00172	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00173	-13.0	8.0	6.5	0.1	298.15	
R00174	-11.9	8.0	6.5	0.1	298.15	
R00175	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00177	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00178	-25.2	6.1	6.5	0.1	298.15	
R00179	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00180	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00181	-34.4	3.8	6.5	0.1	298.15	
R00182	-17.8	3.0	6.5	0.1	298.15	
R00183	-15.0	2.8	6.5	0.1	298.15	
R00184	-29.0	18.3	6.5	0.1	298.15	
R00185	-10.0	2.8	6.5	0.1	298.15	
R00187	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00188	-12.0	6.0	6.5	0.1	298.15	
R00189	-12.5	12.9	6.5	0.1	298.15	
R00190	16.2	2.6	6.5	0.1	298.15	
R00191	-38.9	2.2	6.5	0.1	298.15	
R00192	34.7	5.8	6.5	0.1	298.15	
R00193	-26.4	9.5	6.5	0.1	298.15	
R00194	-15.0	8.8	6.5	0.1	298.15	
R00195	-7.1	7.1	6.5	0.1	298.15	
R00196	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00197	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00198	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00199	9.2	1.0	6.5	0.1	298.15	
R00200	30.1	0.8	6.5	0.1	298.15	
R00203	-23.3	4.1	6.5	0.1	298.15	
R00205	-22.3	4.1	6.5	0.1	298.15	
R00206	24.4	1.0	6.5	0.1	298.15	
R00207	-161.0	10.4	6.5	0.1	298.15	
R00208	-55.0	1.1	6.5	0.1	298.15	
R00209	-35.3	6.4	6.5	0.1	298.15	
R00210	-34.3	6.4	6.5	0.1	298.15	
R00211	-171.6	10.3	6.5	0.1	298.15	
R00212	21.2	3.0	6.5	0.1	298.15	
R00213	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00214	13.0	6.2	6.5	0.1	298.15	
R00215	22.3	10.3	6.5	0.1	298.15	
R00216	14.1	6.2	6.5	0.1	298.15	
R00217	-20.2	6.2	6.5	0.1	298.15	
R00218	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00219	25.9	8.5	6.5	0.1	298.15	
R00220	-28.7	1.8	6.5	0.1	298.15	
R00221	-27.8	5.8	6.5	0.1	298.15	
R00223	-29.0	3.5	6.5	0.1	298.15	
R00224	-21.2	6.5	6.5	0.1	298.15	
R00226	35.1	7.4	6.5	0.1	298.15	
R00227	-27.1	1.0	6.5	0.1	298.15	
R00228	-14.1	2.4	6.5	0.1	298.15	
R00229	2.2	0.8	6.5	0.1	298.15	
R00230	10.5	1.2	6.5	0.1	298.15	
R00233	-20.7	6.3	6.5	0.1	298.15	
R00234	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00235	-3.5	0.8	6.5	0.1	298.15	
R00236	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00237	9.1	15.3	6.5	0.1	298.15	
R00238	26.1	1.7	6.5	0.1	298.15	
R00239	25.7	4.5	6.5	0.1	298.15	
R00241	25.0	4.5	6.5	0.1	298.15	
R00243	40.8	0.6	6.5	0.1	298.15	
R00245	-38.0	3.9	6.5	0.1	298.15	
R00248	41.8	0.7	6.5	0.1	298.15	
R00250	-95.5	8.3	6.5	0.1	298.15	
R00251	-5.3	6.2	6.5	0.1	298.15	
R00253	-13.5	1.6	6.5	0.1	298.15	
R00254	60.7	9.5	6.5	0.1	298.15	
R00256	-11.4	1.7	6.5	0.1	298.15	
R00257	-23.9	13.1	6.5	0.1	298.15	
R00258	-0.2	1.1	6.5	0.1	298.15	
R00259	-25.0	6.4	6.5	0.1	298.15	
R00260	0.6	4.3	6.5	0.1	298.15	
R00261	-27.8	6.9	6.5	0.1	298.15	
R00262	-7.4	4.7	6.5	0.1	298.15	
R00263	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00264	-29.5	4.0	6.5	0.1	298.15	
R00265	-26.2	7.7	6.5	0.1	298.15	
R00267	6.5	6.3	6.5	0.1	298.15	
R00268	-18.3	7.7	6.5	0.1	298.15	
R00269	0.3	4.7	6.5	0.1	298.15	
R00270	41.3	6.4	6.5	0.1	298.15	
R00271	-25.7	5.4	6.5	0.1	298.15	
R00272	-21.7	6.7	6.5	0.1	298.15	
R00273	-170.7	15.4	6.5	0.1	298.15	
R00274	-309.9	6.6	6.5	0.1	298.15	
R00275	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00276	177.8	11.7	6.5	0.1	298.15	
R00277	-96.3	9.0	6.5	0.1	298.15	
R00278	-110.2	8.4	6.5	0.1	298.15	
R00279	-96.1	9.3	6.5	0.1	298.15	
R00280	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00281	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00282	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00283	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00284	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00286	-4.0	4.3	6.5	0.1	298.15	
R00287	-24.5	7.5	6.5	0.1	298.15	
R00289	-1.9	1.1	6.5	0.1	298.15	
R00291	2.9	1.6	6.5	0.1	298.15	
R00293	-56.1	10.7	6.5	0.1	298.15	
R00294	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00295	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00296	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00297	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00298	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00299	-15.1	0.9	6.5	0.1	298.15	
R00300	-0.6	2.2	6.5	0.1	298.15	
R00301	-1.6	4.1	6.5	0.1	298.15	
R00302	-126.4	8.9	6.5	0.1	298.15	
R00303	-9.9	0.9	6.5	0.1	298.15	
R00304	-17.3	1.6	6.5	0.1	298.15	
R00305	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00306	-12.9	3.7	6.5	0.1	298.15	
R00307	-0.1	0.6	6.5	0.1	298.15	
R00310	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00311	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00312	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00313	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00314	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00315	12.7	1.1	6.5	0.1	298.15	
R00316	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00317	-37.7	1.3	6.5	0.1	298.15	
R00318	-80.7	13.8	6.5	0.1	298.15	
R00319	-497.8	8.8	6.5	0.1	298.15	
R00320	22.4	1.3	6.5	0.1	298.15	
R00321	-22.8	4.6	6.5	0.1	298.15	
R00322	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00324	-54.5	4.1	6.5	0.1	298.15	
R00325	2.2	2.3	6.5	0.1	298.15	
R00326	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00327	-25.6	4.6	6.5	0.1	298.15	
R00328	-20.1	2.4	6.5	0.1	298.15	
R00329	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00330	-2.4	2.6	6.5	0.1	298.15	
R00331	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00332	-4.9	2.4	6.5	0.1	298.15	
R00333	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00334	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00335	-22.6	2.7	6.5	0.1	298.15	
R00336	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00337	-25.5	6.6	6.5	0.1	298.15	
R00338	-48.2	6.7	6.5	0.1	298.15	
R00339	-35.3	3.9	6.5	0.1	298.15	
R00340	-35.3	3.9	6.5	0.1	298.15	
R00341	9.9	6.2	6.5	0.1	298.15	
R00342	33.2	0.6	6.5	0.1	298.15	
R00343	34.2	0.9	6.5	0.1	298.15	
R00344	-2.4	1.4	6.5	0.1	298.15	
R00345	34.8	6.2	6.5	0.1	298.15	
R00346	19.6	6.2	6.5	0.1	298.15	
R00347	-26.7	4.3	6.5	0.1	298.15	
R00348	-7.0	5.0	6.5	0.1	298.15	
R00350	18.9	5.4	6.5	0.1	298.15	
R00351	31.8	0.9	6.5	0.1	298.15	
R00352	6.8	0.9	6.5	0.1	298.15	
R00353	-0.5	2.9	6.5	0.1	298.15	
R00354	15.4	15.3	6.5	0.1	298.15	
R00355	2.9	1.1	6.5	0.1	298.15	
R00357	-92.6	8.3	6.5	0.1	298.15	
R00359	-97.5	9.1	6.5	0.1	298.15	
R00360	-103.1	8.3	6.5	0.1	298.15	
R00361	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00362	4.6	0.9	6.5	0.1	298.15	
R00363	5.7	5.8	6.5	0.1	298.15	
R00364	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00365	48.9	3.2	6.5	0.1	298.15	
R00366	-87.4	8.8	6.5	0.1	298.15	
R00367	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00368	34.6	7.8	6.5	0.1	298.15	
R00369	-8.3	3.3	6.5	0.1	298.15	
R00371	39.5	4.1	6.5	0.1	298.15	
R00372	8.0	3.2	6.5	0.1	298.15	
R00373	5.1	3.2	6.5	0.1	298.15	
R00374	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00380	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00383	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00384	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00385	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00387	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00388	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00389	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00390	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00391	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00392	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00393	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00394	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00395	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00396	40.6	1.1	6.5	0.1	298.15	
R00397	-17.0	6.3	6.5	0.1	298.15	
R00398	37.8	5.8	6.5	0.1	298.15	
R00399	34.9	7.2	6.5	0.1	298.15	
R00400	-3.1	1.4	6.5	0.1	298.15	
R00401	-0.0	2.0	6.5	0.1	298.15	
R00402	66.1	4.1	6.5	0.1	298.15	
R00405	-3.1	2.6	6.5	0.1	298.15	
R00406	-4.9	7.4	6.5	0.1	298.15	
R00407	-21.8	2.7	6.5	0.1	298.15	
R00408	43.4	7.1	6.5	0.1	298.15	
R00409	9.3	5.9	6.5	0.1	298.15	
R00410	11.0	1.3	6.5	0.1	298.15	
R00411	-2.6	7.0	6.5	0.1	298.15	
R00412	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00414	-21.8	6.6	6.5	0.1	298.15	
R00416	-5.5	7.3	6.5	0.1	298.15	
R00417	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00418	0.0	12.0	6.5	0.1	298.15	
R00420	0.0	12.0	6.5	0.1	298.15	
R00421	-8.1	12.3	6.5	0.1	298.15	
R00422	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00423	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00424	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00425	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00426	-27.4	3.7	6.5	0.1	298.15	
R00428	10.9	5.8	6.5	0.1	298.15	
R00429	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00430	32.4	2.8	6.5	0.1	298.15	
R00431	12.3	6.7	6.5	0.1	298.15	
R00432	-0.7	0.9	6.5	0.1	298.15	
R00434	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00436	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00445	24.5	17.3	6.5	0.1	298.15	
R00446	38.9	5.6	6.5	0.1	298.15	
R00447	-104.7	9.9	6.5	0.1	298.15	
R00448	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00449	-469.7	10.6	6.5	0.1	298.15	
R00451	-20.1	7.3	6.5	0.1	298.15	
R00452	42.2	8.3	6.5	0.1	298.15	
R00453	-1.7	5.7	6.5	0.1	298.15	
R00454	-23.3	6.3	6.5	0.1	298.15	
R00457	-2.0	5.6	6.5	0.1	298.15	
R00458	-3.8	6.3	6.5	0.1	298.15	
R00459	-68.3	17.2	6.5	0.1	298.15	
R00460	0.0	5.8	6.5	0.1	298.15	
R00461	-4.6	4.1	6.5	0.1	298.15	
R00462	-28.1	8.6	6.5	0.1	298.15	
R00463	18.3	9.1	6.5	0.1	298.15	
R00465	48.5	1.8	6.5	0.1	298.15	
R00466	-154.0	10.6	6.5	0.1	298.15	
R00468	-4.5	2.6	6.5	0.1	298.15	
R00469	-30.1	9.6	6.5	0.1	298.15	
R00470	17.8	3.0	6.5	0.1	298.15	
R00471	15.4	4.4	6.5	0.1	298.15	
R00472	29.9	4.1	6.5	0.1	298.15	
R00473	12.9	5.8	6.5	0.1	298.15	
R00474	30.9	7.7	6.5	0.1	298.15	
R00475	-88.8	8.4	6.5	0.1	298.15	
R00476	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00477	18.4	7.3	6.5	0.1	298.15	
R00478	1.4	5.4	6.5	0.1	298.15	
R00479	8.6	2.7	6.5	0.1	298.15	
R00480	17.9	5.8	6.5	0.1	298.15	
R00481	-69.1	9.4	6.5	0.1	298.15	
R00482	-8.6	7.0	6.5	0.1	298.15	
R00483	-14.2	7.1	6.5	0.1	298.15	
R00484	-37.1	9.8	6.5	0.1	298.15	
R00485	-16.4	7.0	6.5	0.1	298.15	
R00486	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00487	-15.2	4.7	6.5	0.1	298.15	
R00488	-12.0	4.8	6.5	0.1	298.15	
R00489	-23.8	11.8	6.5	0.1	298.15	
R00490	14.0	0.9	6.5	0.1	298.15	
R00491	5.0	3.9	6.5	0.1	298.15	
R00493	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00494	-3.1	8.9	6.5	0.1	298.15	
R00497	-23.5	8.9	6.5	0.1	298.15	
R00499	-26.4	10.4	6.5	0.1	298.15	
R00501	-8.0	5.0	6.5	0.1	298.15	
R00502	-4.8	3.6	6.5	0.1	298.15	
R00503	-8.3	4.4	6.5	0.1	298.15	
R00504	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00505	4.8	9.9	6.5	0.1	298.15	
R00507	-78.2	11.2	6.5	0.1	298.15	
R00508	-13.7	11.5	6.5	0.1	298.15	
R00509	-11.2	11.5	6.5	0.1	298.15	
R00510	-12.2	9.0	6.5	0.1	298.15	
R00511	-16.3	5.4	6.5	0.1	298.15	
R00512	-4.7	5.8	6.5	0.1	298.15	
R00513	-8.7	5.4	6.5	0.1	298.15	
R00514	-20.3	5.8	6.5	0.1	298.15	
R00515	-29.6	4.6	6.5	0.1	298.15	
R00516	-6.7	6.0	6.5	0.1	298.15	
R00517	-6.3	6.0	6.5	0.1	298.15	
R00518	-8.7	8.8	6.5	0.1	298.15	
R00519	-14.1	6.5	6.5	0.1	298.15	
R00521	-10.6	8.9	6.5	0.1	298.15	
R00522	-20.3	8.6	6.5	0.1	298.15	
R00524	-31.6	12.1	6.5	0.1	298.15	
R00525	-33.3	11.0	6.5	0.1	298.15	
R00526	-31.6	11.2	6.5	0.1	298.15	
R00527	-11.3	10.0	6.5	0.1	298.15	
R00528	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00529	45.9	2.3	6.5	0.1	298.15	
R00530	55.6	2.3	6.5	0.1	298.15	
R00531	-76.5	2.5	6.5	0.1	298.15	
R00532	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00533	-170.3	11.0	6.5	0.1	298.15	
R00534	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00535	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00536	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00537	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00538	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00539	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00540	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00542	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00543	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00544	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00545	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00546	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00547	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00548	-25.7	19.6	6.5	0.1	298.15	
R00549	0.7	19.6	6.5	0.1	298.15	
R00550	8.4	19.7	6.5	0.1	298.15	
R00551	-28.6	12.5	6.5	0.1	298.15	
R00552	-34.7	6.7	6.5	0.1	298.15	
R00554	8.8	1.1	6.5	0.1	298.15	
R00555	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00557	-1263.9	30.0	6.5	0.1	298.15	
R00558	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00559	-459.4	14.9	6.5	0.1	298.15	
R00562	35.4	5.8	6.5	0.1	298.15	
R00563	27.4	13.5	6.5	0.1	298.15	
R00565	-0.4	5.8	6.5	0.1	298.15	
R00566	-17.9	13.6	6.5	0.1	298.15	
R00567	7.3	12.0	6.5	0.1	298.15	
R00568	-25.9	4.8	6.5	0.1	298.15	
R00569	-24.6	4.5	6.5	0.1	298.15	
R00570	-0.4	4.6	6.5	0.1	298.15	
R00571	0.9	4.8	6.5	0.1	298.15	
R00572	30.5	4.7	6.5	0.1	298.15	
R00573	-10.5	5.1	6.5	0.1	298.15	
R00574	5.8	10.2	6.5	0.1	298.15	
R00575	-1.0	5.2	6.5	0.1	298.15	
R00576	-11.5	4.4	6.5	0.1	298.15	
R00577	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00578	-25.6	7.2	6.5	0.1	298.15	
R00579	7.7	6.4	6.5	0.1	298.15	
R00581	44.6	1.6	6.5	0.1	298.15	
R00582	-11.0	0.5	6.5	0.1	298.15	
R00584	-4.3	0.7	6.5	0.1	298.15	
R00585	4.0	1.5	6.5	0.1	298.15	
R00586	-6.7	5.8	6.5	0.1	298.15	
R00588	-4.3	3.4	6.5	0.1	298.15	
R00589	-0.9	5.9	6.5	0.1	298.15	
R00590	-3.6	3.5	6.5	0.1	298.15	
R00594	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00595	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00596	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00597	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00598	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00599	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00600	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00601	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00602	-292.3	9.2	6.5	0.1	298.15	
R00603	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00604	-37.3	3.9	6.5	0.1	298.15	
R00605	37.1	6.5	6.5	0.1	298.15	
R00606	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00608	-99.2	10.4	6.5	0.1	298.15	
R00609	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00610	-76.9	11.4	6.5	0.1	298.15	
R00611	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00612	-69.2	11.9	6.5	0.1	298.15	
