!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='6.0' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00103	-29.7	5.9	6.0	0.1	298.15	
R00104	-6.9	5.8	6.0	0.1	298.15	
R00105	-5.9	5.8	6.0	0.1	298.15	
R00106	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00107	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00108	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00109	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00111	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00112	-1.1	0.7	6.0	0.1	298.15	
R00113	-333.3	6.5	6.0	0.1	298.15	
R00114	56.2	1.9	6.0	0.1	298.15	
R00115	23.8	1.6	6.0	0.1	298.15	
R00118	-17.3	5.8	6.0	0.1	298.15	
R00119	-26.3	9.3	6.0	0.1	298.15	
R00120	-116.4	8.4	6.0	0.1	298.15	
R00122	-18.5	0.6	6.0	0.1	298.15	
R00123	-67.1	7.6	6.0	0.1	298.15	
R00125	-31.8	18.3	6.0	0.1	298.15	
R00126	7.6	18.3	6.0	0.1	298.15	
R00127	-5.7	0.3	6.0	0.1	298.15	
R00128	-30.3	5.8	6.0	0.1	298.15	
R00129	-53.1	13.5	6.0	0.1	298.15	
R00130	9.8	5.8	6.0	0.1	298.15	
R00131	-41.3	9.0	6.0	0.1	298.15	
R00132	-2.5	8.4	6.0	0.1	298.15	
R00134	-13.0	6.5	6.0	0.1	298.15	
R00137	1.9	5.8	6.0	0.1	298.15	
R00138	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00139	2.9	2.5	6.0	0.1	298.15	
R00140	2.8	2.5	6.0	0.1	298.15	
R00141	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00143	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00145	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00146	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00148	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00149	14.6	7.9	6.0	0.1	298.15	
R00150	38.9	7.8	6.0	0.1	298.15	
R00152	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00153	-154.5	7.2	6.0	0.1	298.15	
R00155	-16.3	6.3	6.0	0.1	298.15	
R00156	-1.6	2.5	6.0	0.1	298.15	
R00157	-4.1	2.5	6.0	0.1	298.15	
R00158	-7.9	6.3	6.0	0.1	298.15	
R00159	-22.6	2.5	6.0	0.1	298.15	
R00160	-20.3	9.4	6.0	0.1	298.15	
R00161	-7.5	9.4	6.0	0.1	298.15	
R00162	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00164	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00165	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00166	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00167	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00168	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00169	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00170	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00172	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00173	-13.5	8.0	6.0	0.1	298.15	
R00174	-10.7	8.0	6.0	0.1	298.15	
R00175	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00177	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00178	-28.2	6.1	6.0	0.1	298.15	
R00179	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00180	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00181	-37.2	3.8	6.0	0.1	298.15	
R00182	-18.3	3.0	6.0	0.1	298.15	
R00183	-16.1	2.8	6.0	0.1	298.15	
R00184	-26.1	18.3	6.0	0.1	298.15	
R00185	-8.1	2.8	6.0	0.1	298.15	
R00187	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00188	-14.1	6.0	6.0	0.1	298.15	
R00189	-9.7	12.9	6.0	0.1	298.15	
R00190	15.7	2.6	6.0	0.1	298.15	
R00191	-36.9	2.2	6.0	0.1	298.15	
R00192	34.7	5.8	6.0	0.1	298.15	
R00193	-29.1	9.5	6.0	0.1	298.15	
R00194	-15.4	8.8	6.0	0.1	298.15	
R00195	-8.0	7.1	6.0	0.1	298.15	
R00196	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00197	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00198	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00199	13.8	1.0	6.0	0.1	298.15	
R00200	32.3	0.8	6.0	0.1	298.15	
R00203	-17.6	4.1	6.0	0.1	298.15	
R00205	-16.6	4.1	6.0	0.1	298.15	
R00206	28.7	1.0	6.0	0.1	298.15	
R00207	-162.9	10.4	6.0	0.1	298.15	
R00208	-56.5	1.1	6.0	0.1	298.15	
R00209	-35.2	6.4	6.0	0.1	298.15	
R00210	-34.1	6.4	6.0	0.1	298.15	
R00211	-174.4	10.3	6.0	0.1	298.15	
R00212	21.2	3.0	6.0	0.1	298.15	
R00213	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00214	13.2	6.2	6.0	0.1	298.15	
R00215	22.4	10.3	6.0	0.1	298.15	
R00216	14.2	6.2	6.0	0.1	298.15	
R00217	-23.0	6.2	6.0	0.1	298.15	
R00218	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00219	28.7	8.5	6.0	0.1	298.15	
R00220	-28.7	1.8	6.0	0.1	298.15	
R00221	-27.8	5.8	6.0	0.1	298.15	
R00223	-29.0	3.5	6.0	0.1	298.15	
R00224	-24.0	6.5	6.0	0.1	298.15	
R00226	38.0	7.4	6.0	0.1	298.15	
R00227	-24.4	1.0	6.0	0.1	298.15	
R00228	-11.2	2.4	6.0	0.1	298.15	
R00229	0.1	0.8	6.0	0.1	298.15	
R00230	11.5	1.2	6.0	0.1	298.15	
R00233	-23.7	6.3	6.0	0.1	298.15	
R00234	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00235	-3.4	0.8	6.0	0.1	298.15	
R00236	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00237	9.0	15.3	6.0	0.1	298.15	
R00238	26.1	1.7	6.0	0.1	298.15	
R00239	24.5	4.5	6.0	0.1	298.15	
R00241	24.5	4.5	6.0	0.1	298.15	
R00243	43.7	0.6	6.0	0.1	298.15	
R00245	-32.3	3.9	6.0	0.1	298.15	
R00248	44.8	0.7	6.0	0.1	298.15	
R00250	-95.5	8.3	6.0	0.1	298.15	
R00251	-4.2	6.2	6.0	0.1	298.15	
R00253	-12.8	1.6	6.0	0.1	298.15	
R00254	66.4	9.5	6.0	0.1	298.15	
R00256	-11.4	1.7	6.0	0.1	298.15	
R00257	-21.1	13.1	6.0	0.1	298.15	
R00258	-0.2	1.1	6.0	0.1	298.15	
R00259	-22.7	6.4	6.0	0.1	298.15	
R00260	0.6	4.3	6.0	0.1	298.15	
R00261	-30.7	6.9	6.0	0.1	298.15	
R00262	-7.2	4.7	6.0	0.1	298.15	
R00263	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00264	-23.8	4.0	6.0	0.1	298.15	
R00265	-25.9	7.7	6.0	0.1	298.15	
R00267	6.6	6.3	6.0	0.1	298.15	
R00268	-21.1	7.7	6.0	0.1	298.15	
R00269	0.3	4.7	6.0	0.1	298.15	
R00270	41.3	6.4	6.0	0.1	298.15	
R00271	-22.9	5.4	6.0	0.1	298.15	
R00272	-24.6	6.7	6.0	0.1	298.15	
R00273	-176.4	15.4	6.0	0.1	298.15	
R00274	-309.5	6.6	6.0	0.1	298.15	
R00275	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00276	177.8	11.7	6.0	0.1	298.15	
R00277	-95.9	9.0	6.0	0.1	298.15	
R00278	-109.6	8.4	6.0	0.1	298.15	
R00279	-96.1	9.3	6.0	0.1	298.15	
R00280	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00281	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00282	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00283	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00284	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00286	4.9	4.3	6.0	0.1	298.15	
R00287	-20.3	7.5	6.0	0.1	298.15	
R00289	-3.7	1.1	6.0	0.1	298.15	
R00291	2.9	1.6	6.0	0.1	298.15	
R00293	-56.1	10.7	6.0	0.1	298.15	
R00294	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00295	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00296	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00297	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00298	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00299	-13.3	0.9	6.0	0.1	298.15	
R00300	2.3	2.2	6.0	0.1	298.15	
R00301	1.4	4.1	6.0	0.1	298.15	
R00302	-126.4	8.9	6.0	0.1	298.15	
R00303	-10.9	0.9	6.0	0.1	298.15	
R00304	-18.4	1.6	6.0	0.1	298.15	
R00305	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00306	-12.9	3.7	6.0	0.1	298.15	
R00307	-0.1	0.6	6.0	0.1	298.15	
R00310	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00311	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00312	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00313	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00314	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00315	11.6	1.1	6.0	0.1	298.15	
R00316	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00317	-35.9	1.3	6.0	0.1	298.15	
R00318	-79.8	13.8	6.0	0.1	298.15	
R00319	-497.8	8.8	6.0	0.1	298.15	
R00320	20.9	1.3	6.0	0.1	298.15	
R00321	-22.8	4.6	6.0	0.1	298.15	
R00322	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00324	-51.7	4.1	6.0	0.1	298.15	
R00325	2.3	2.3	6.0	0.1	298.15	
R00326	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00327	-22.8	4.6	6.0	0.1	298.15	
R00328	-17.9	2.4	6.0	0.1	298.15	
R00329	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00330	-2.2	2.6	6.0	0.1	298.15	
R00331	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00332	-6.3	2.4	6.0	0.1	298.15	
R00333	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00334	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00335	-22.1	2.7	6.0	0.1	298.15	
R00336	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00337	-24.8	6.6	6.0	0.1	298.15	
R00338	-45.4	6.7	6.0	0.1	298.15	
R00339	-35.2	3.9	6.0	0.1	298.15	
R00340	-35.2	3.9	6.0	0.1	298.15	
R00341	9.2	6.2	6.0	0.1	298.15	
R00342	36.2	0.6	6.0	0.1	298.15	
R00343	37.2	0.9	6.0	0.1	298.15	
R00344	-0.9	1.4	6.0	0.1	298.15	
R00345	33.5	6.2	6.0	0.1	298.15	
R00346	18.5	6.2	6.0	0.1	298.15	
R00347	-26.7	4.3	6.0	0.1	298.15	
R00348	-7.0	5.0	6.0	0.1	298.15	
R00350	18.9	5.4	6.0	0.1	298.15	
R00351	29.1	0.9	6.0	0.1	298.15	
R00352	4.8	0.9	6.0	0.1	298.15	
R00353	-0.7	2.9	6.0	0.1	298.15	
R00354	15.1	15.3	6.0	0.1	298.15	
R00355	3.0	1.1	6.0	0.1	298.15	
R00357	-92.4	8.3	6.0	0.1	298.15	
R00359	-97.4	9.1	6.0	0.1	298.15	
R00360	-103.0	8.3	6.0	0.1	298.15	
R00361	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00362	4.7	0.9	6.0	0.1	298.15	
R00363	5.7	5.8	6.0	0.1	298.15	
R00364	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00365	51.8	3.2	6.0	0.1	298.15	
R00366	-87.4	8.8	6.0	0.1	298.15	
R00367	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00368	37.5	7.8	6.0	0.1	298.15	
R00369	-8.3	3.3	6.0	0.1	298.15	
R00371	39.9	4.1	6.0	0.1	298.15	
R00372	8.0	3.2	6.0	0.1	298.15	
R00373	5.0	3.2	6.0	0.1	298.15	
R00374	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00380	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00383	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00384	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00385	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00387	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00388	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00389	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00390	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00391	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00392	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00393	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00394	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00395	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00396	43.5	1.1	6.0	0.1	298.15	
R00397	-19.8	6.3	6.0	0.1	298.15	
R00398	40.6	5.8	6.0	0.1	298.15	
R00399	34.9	7.2	6.0	0.1	298.15	
R00400	-3.3	1.4	6.0	0.1	298.15	
R00401	-0.0	2.0	6.0	0.1	298.15	
R00402	69.3	4.1	6.0	0.1	298.15	
R00405	-4.8	2.6	6.0	0.1	298.15	
R00406	-5.1	7.4	6.0	0.1	298.15	
R00407	-19.5	2.7	6.0	0.1	298.15	
R00408	40.8	7.1	6.0	0.1	298.15	
R00409	9.1	5.9	6.0	0.1	298.15	
R00410	10.6	1.3	6.0	0.1	298.15	
R00411	-2.7	7.0	6.0	0.1	298.15	
R00412	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00414	-21.4	6.6	6.0	0.1	298.15	
R00416	-7.2	7.3	6.0	0.1	298.15	
R00417	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00418	0.0	12.0	6.0	0.1	298.15	
R00420	0.0	12.0	6.0	0.1	298.15	
R00421	0.9	12.3	6.0	0.1	298.15	
R00422	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00423	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00424	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00425	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00426	-25.0	3.7	6.0	0.1	298.15	
R00428	12.7	5.8	6.0	0.1	298.15	
R00429	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00430	34.4	2.8	6.0	0.1	298.15	
R00431	11.4	6.7	6.0	0.1	298.15	
R00432	-2.6	0.9	6.0	0.1	298.15	
R00434	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00436	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00445	27.3	17.3	6.0	0.1	298.15	
R00446	41.8	5.6	6.0	0.1	298.15	
R00447	-104.7	9.9	6.0	0.1	298.15	
R00448	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00449	-469.7	10.6	6.0	0.1	298.15	
R00451	-23.0	7.3	6.0	0.1	298.15	
R00452	45.1	8.3	6.0	0.1	298.15	
R00453	-1.7	5.7	6.0	0.1	298.15	
R00454	-22.9	6.3	6.0	0.1	298.15	
R00457	-2.0	5.6	6.0	0.1	298.15	
R00458	-1.4	6.3	6.0	0.1	298.15	
R00459	-56.8	17.2	6.0	0.1	298.15	
R00460	0.0	5.8	6.0	0.1	298.15	
R00461	-4.7	4.1	6.0	0.1	298.15	
R00462	-31.0	8.6	6.0	0.1	298.15	
R00463	18.8	9.1	6.0	0.1	298.15	
R00465	51.4	1.8	6.0	0.1	298.15	
R00466	-151.2	10.6	6.0	0.1	298.15	
R00468	-1.3	2.6	6.0	0.1	298.15	
R00469	-34.8	9.6	6.0	0.1	298.15	
R00470	17.8	3.0	6.0	0.1	298.15	
R00471	15.4	4.4	6.0	0.1	298.15	
R00472	27.2	4.1	6.0	0.1	298.15	
R00473	12.8	5.8	6.0	0.1	298.15	
R00474	33.7	7.7	6.0	0.1	298.15	
R00475	-88.8	8.4	6.0	0.1	298.15	
R00476	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00477	18.4	7.3	6.0	0.1	298.15	
R00478	1.4	5.4	6.0	0.1	298.15	
R00479	8.4	2.7	6.0	0.1	298.15	
R00480	16.8	5.8	6.0	0.1	298.15	
R00481	-69.0	9.4	6.0	0.1	298.15	
R00482	-7.7	7.0	6.0	0.1	298.15	
R00483	-11.3	7.1	6.0	0.1	298.15	
R00484	-42.8	9.8	6.0	0.1	298.15	
R00485	-16.5	7.0	6.0	0.1	298.15	
R00486	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00487	-12.8	4.7	6.0	0.1	298.15	
R00488	-11.6	4.8	6.0	0.1	298.15	
R00489	-26.6	11.8	6.0	0.1	298.15	
R00490	14.1	0.9	6.0	0.1	298.15	
R00491	4.9	3.9	6.0	0.1	298.15	
R00493	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00494	-2.7	8.9	6.0	0.1	298.15	
R00497	-22.8	8.9	6.0	0.1	298.15	
R00499	-24.1	10.4	6.0	0.1	298.15	
R00501	0.8	5.0	6.0	0.1	298.15	
R00502	-6.6	3.6	6.0	0.1	298.15	
R00503	-7.5	4.4	6.0	0.1	298.15	
R00504	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00505	4.8	9.9	6.0	0.1	298.15	
R00507	-72.9	11.2	6.0	0.1	298.15	
R00508	-15.5	11.5	6.0	0.1	298.15	
R00509	-8.8	11.5	6.0	0.1	298.15	
R00510	-11.6	9.0	6.0	0.1	298.15	
R00511	-17.6	5.4	6.0	0.1	298.15	
R00512	-6.2	5.8	6.0	0.1	298.15	
R00513	-6.7	5.4	6.0	0.1	298.15	
R00514	-18.0	5.8	6.0	0.1	298.15	
R00515	-27.1	4.6	6.0	0.1	298.15	
R00516	-5.1	6.0	6.0	0.1	298.15	
R00517	-4.5	6.0	6.0	0.1	298.15	
R00518	-9.8	8.8	6.0	0.1	298.15	
R00519	-14.0	6.5	6.0	0.1	298.15	
R00521	-7.9	8.9	6.0	0.1	298.15	
R00522	-23.2	8.6	6.0	0.1	298.15	
R00524	-31.6	12.1	6.0	0.1	298.15	
R00525	-33.4	11.0	6.0	0.1	298.15	
R00526	-31.6	11.2	6.0	0.1	298.15	
R00527	-8.6	10.0	6.0	0.1	298.15	
R00528	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00529	43.8	2.3	6.0	0.1	298.15	
R00530	53.0	2.3	6.0	0.1	298.15	
R00531	-71.6	2.5	6.0	0.1	298.15	
R00532	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00533	-168.0	11.0	6.0	0.1	298.15	
R00534	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00535	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00536	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00537	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00538	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00539	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00540	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00542	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00543	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00544	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00545	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00546	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00547	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00548	-23.5	19.6	6.0	0.1	298.15	
R00549	-0.7	19.6	6.0	0.1	298.15	
R00550	5.1	19.7	6.0	0.1	298.15	
R00551	-28.6	12.5	6.0	0.1	298.15	
R00552	-34.7	6.7	6.0	0.1	298.15	
R00554	11.4	1.1	6.0	0.1	298.15	
R00555	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00557	-1267.0	30.0	6.0	0.1	298.15	
R00558	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00559	-459.4	14.9	6.0	0.1	298.15	
R00562	38.2	5.8	6.0	0.1	298.15	
R00563	30.3	13.5	6.0	0.1	298.15	
R00565	-0.4	5.8	6.0	0.1	298.15	
R00566	-20.7	13.6	6.0	0.1	298.15	
R00567	7.3	12.0	6.0	0.1	298.15	
R00568	-27.6	4.8	6.0	0.1	298.15	
R00569	-24.0	4.5	6.0	0.1	298.15	
R00570	-0.2	4.6	6.0	0.1	298.15	
R00571	3.3	4.8	6.0	0.1	298.15	
R00572	32.5	4.7	6.0	0.1	298.15	
R00573	-8.1	5.1	6.0	0.1	298.15	
R00574	6.3	10.2	6.0	0.1	298.15	
R00575	3.6	5.2	6.0	0.1	298.15	
R00576	-11.5	4.4	6.0	0.1	298.15	
R00577	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00578	-22.7	7.2	6.0	0.1	298.15	
R00579	7.7	6.4	6.0	0.1	298.15	
R00581	47.4	1.6	6.0	0.1	298.15	
R00582	-11.7	0.5	6.0	0.1	298.15	
R00584	-3.3	0.7	6.0	0.1	298.15	
R00585	4.0	1.5	6.0	0.1	298.15	
R00586	-6.7	5.8	6.0	0.1	298.15	
R00588	-4.3	3.4	6.0	0.1	298.15	
R00589	-0.9	5.9	6.0	0.1	298.15	
R00590	-3.6	3.5	6.0	0.1	298.15	
R00594	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00595	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00596	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00597	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00598	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00599	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00600	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00601	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00602	-292.3	9.2	6.0	0.1	298.15	
R00603	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00604	-31.6	3.9	6.0	0.1	298.15	
R00605	40.0	6.5	6.0	0.1	298.15	
R00606	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00608	-99.2	10.4	6.0	0.1	298.15	
R00609	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00610	-76.9	11.4	6.0	0.1	298.15	
R00611	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00612	-69.2	11.9	6.0	0.1	298.15	
